threshold,sensitivity,specificity,precision,f1
0.01,1.0,0.05534351145038168,0.0900735294117647,0.16526138279932545
0.02,1.0,0.11259541984732824,0.09533073929961089,0.17406749555950266
0.03,1.0,0.16984732824427481,0.1012396694214876,0.18386491557223264
0.04,1.0,0.1984732824427481,0.1044776119402985,0.1891891891891892
0.05,1.0,0.23473282442748092,0.10888888888888888,0.1963927855711423
0.06,1.0,0.26908396946564883,0.11342592592592593,0.20374220374220375
0.07,1.0,0.31297709923664124,0.1198044009779951,0.21397379912663755
0.08,1.0,0.3301526717557252,0.1225,0.2182628062360802
0.09,1.0,0.3511450381679389,0.12596401028277635,0.2237442922374429
0.1,0.9591836734693877,0.3797709923664122,0.12634408602150538,0.22327790973871733
0.11,0.9387755102040817,0.4064885496183206,0.12885154061624648,0.22660098522167488
0.12,0.9387755102040817,0.4351145038167939,0.13450292397660818,0.23529411764705882
0.13,0.9387755102040817,0.45038167938931295,0.1377245508982036,0.2402088772845953
0.14,0.9387755102040817,0.46564885496183206,0.1411042944785276,0.24533333333333332
0.15,0.9387755102040817,0.48091603053435117,0.14465408805031446,0.2506811989100817
0.16,0.9387755102040817,0.49809160305343514,0.1488673139158576,0.2569832402234637
0.17,0.9387755102040817,0.5229007633587787,0.1554054054054054,0.26666666666666666
0.18,0.9387755102040817,0.5400763358778626,0.1602787456445993,0.27380952380952384
0.19,0.9387755102040817,0.5629770992366412,0.16727272727272727,0.2839506172839506
0.2,0.9387755102040817,0.5725190839694656,0.17037037037037037,0.2884012539184953
0.21,0.9387755102040817,0.5896946564885496,0.17624521072796934,0.2967741935483871
0.22,0.9387755102040817,0.5973282442748091,0.17898832684824903,0.3006535947712418
0.23,0.9183673469387755,0.6068702290076335,0.17928286852589642,0.3
0.24,0.9183673469387755,0.6164122137404581,0.18292682926829268,0.3050847457627119
0.25,0.9183673469387755,0.6240458015267175,0.1859504132231405,0.30927835051546393
0.26,0.9183673469387755,0.6354961832061069,0.1906779661016949,0.3157894736842105
0.27,0.8775510204081632,0.6374045801526718,0.18454935622317598,0.3049645390070922
0.28,0.8775510204081632,0.6431297709923665,0.18695652173913044,0.30824372759856633
0.29,0.8571428571428571,0.6526717557251909,0.1875,0.3076923076923077
0.3,0.8571428571428571,0.6641221374045801,0.1926605504587156,0.3146067415730337
0.31,0.8571428571428571,0.6717557251908397,0.19626168224299065,0.3193916349809886
0.32,0.8571428571428571,0.683206106870229,0.20192307692307693,0.32684824902723736
0.33,0.8571428571428571,0.6908396946564885,0.20588235294117646,0.33201581027667987
0.34,0.8571428571428571,0.7080152671755725,0.2153846153846154,0.3442622950819672
0.35000000000000003,0.8367346938775511,0.7099236641221374,0.21243523316062177,0.33884297520661155
0.36,0.8367346938775511,0.7194656488549618,0.21808510638297873,0.3459915611814346
0.37,0.8367346938775511,0.7347328244274809,0.22777777777777777,0.35807860262008734
0.38,0.8367346938775511,0.7404580152671756,0.23163841807909605,0.36283185840707965
0.39,0.8367346938775511,0.7423664122137404,0.23295454545454544,0.36444444444444446
0.4,0.8367346938775511,0.7576335877862596,0.24404761904761904,0.3778801843317972
0.41000000000000003,0.8367346938775511,0.7652671755725191,0.25,0.38497652582159625
0.42,0.8367346938775511,0.7690839694656488,0.25308641975308643,0.3886255924170616
0.43,0.8163265306122449,0.7709923664122137,0.25,0.3827751196172249
0.44,0.7959183673469388,0.7767175572519084,0.25,0.3804878048780488
0.45,0.7959183673469388,0.7843511450381679,0.2565789473684211,0.3880597014925373
0.46,0.7755102040816326,0.7881679389312977,0.2550335570469799,0.3838383838383838
0.47000000000000003,0.7755102040816326,0.799618320610687,0.26573426573426573,0.3958333333333333
0.48,0.7755102040816326,0.8034351145038168,0.2695035460992908,0.4
0.49,0.7755102040816326,0.8072519083969466,0.2733812949640288,0.40425531914893614
0.5,0.7346938775510204,0.8187022900763359,0.2748091603053435,0.4
0.51,0.7346938775510204,0.8263358778625954,0.28346456692913385,0.4090909090909091
0.52,0.7346938775510204,0.833969465648855,0.2926829268292683,0.4186046511627907
0.53,0.7346938775510204,0.8416030534351145,0.3025210084033613,0.42857142857142855
0.54,0.7346938775510204,0.851145038167939,0.3157894736842105,0.44171779141104295
0.55,0.7346938775510204,0.8606870229007634,0.3302752293577982,0.45569620253164556
0.56,0.7142857142857143,0.8625954198473282,0.32710280373831774,0.44871794871794873
0.5700000000000001,0.7142857142857143,0.8683206106870229,0.33653846153846156,0.45751633986928103
0.58,0.673469387755102,0.8721374045801527,0.33,0.4429530201342282
0.59,0.673469387755102,0.8759541984732825,0.336734693877551,0.4489795918367347
0.6,0.6530612244897959,0.8797709923664122,0.3368421052631579,0.4444444444444444
0.61,0.6530612244897959,0.8835877862595419,0.34408602150537637,0.4507042253521127
0.62,0.6530612244897959,0.8874045801526718,0.3516483516483517,0.45714285714285713
0.63,0.6530612244897959,0.8931297709923665,0.36363636363636365,0.46715328467153283
0.64,0.6530612244897959,0.8969465648854962,0.37209302325581395,0.4740740740740741
0.65,0.6326530612244898,0.9064885496183206,0.3875,0.4806201550387597
0.66,0.6326530612244898,0.9083969465648855,0.3924050632911392,0.484375
0.67,0.6326530612244898,0.9122137404580153,0.4025974025974026,0.49206349206349204
0.68,0.6122448979591837,0.916030534351145,0.40540540540540543,0.4878048780487805
0.6900000000000001,0.5918367346938775,0.9217557251908397,0.4142857142857143,0.48739495798319327
0.7000000000000001,0.5510204081632653,0.9236641221374046,0.40298507462686567,0.46551724137931033
0.71,0.4897959183673469,0.9236641221374046,0.375,0.4247787610619469
0.72,0.4489795918367347,0.9293893129770993,0.3728813559322034,0.4074074074074074
0.73,0.42857142857142855,0.9370229007633588,0.3888888888888889,0.4077669902912621
0.74,0.42857142857142855,0.9408396946564885,0.40384615384615385,0.4158415841584158
